prefix,k,support,dH,pred_next
6-6-14,3,41,0.511930,6
6-6-12,3,40,0.629593,6
12-11-12,3,39,1.010367,12
6-6-8,3,39,0.878381,6
10-4-10,3,39,0.834038,10
10-3-10,3,38,1.166523,10
6-14-6,3,38,0.848022,6
6-12-6,3,38,0.538951,6
15-7-4,3,38,0.491746,7
6-4-6,3,37,1.252601,6
4-6-4,3,37,1.068682,4
11-5-7,3,37,0.420490,7
0-9-3,3,37,0.409486,3
9-9-8,3,36,1.023525,9
2-2-4,3,36,0.636212,2
15-2-9,3,36,0.528638,9
15-6-15,3,36,0.493733,15
4-14-4,3,35,1.125717,4
3-9-0,3,35,0.730260,0
2-2-1,3,35,0.676816,2
3-10-3,3,35,0.608845,3
8-8-15,3,35,0.547963,8
10-7-13,3,35,0.532606,7
7-10-15,3,35,0.486002,15
2-0-2,3,34,1.359712,2
1-10-1,3,34,0.851505,1
4-4-14,3,33,1.286553,4
10-10-1,3,33,1.105307,10
0-3-4,3,33,0.430748,0
13-2-14,3,33,0.424223,13
7-3-15,3,33,0.410376,15
10-10-5,3,32,0.919436,10
3-1-3,3,32,0.575175,3
2-4-2,3,31,1.259317,2
3-3-2,3,31,1.152773,3
11-12-11,3,31,1.078871,11
4-8-4,3,31,1.023733,4
1-1-10,3,31,0.980957,1
5-5-12,3,31,0.889647,5
10-5-10,3,31,0.858725,10
4-4-8,3,31,0.637424,4
13-0-14,3,31,0.515953,0
3-3-14,3,31,0.415229,3
2-3-2,3,30,1.567130,2
5-12-5,3,30,0.791496,5
13-4-5,3,30,0.749010,5
9-7-10,3,30,0.624313,9
9-2-7,3,30,0.598731,7
5-14-11,3,30,0.518496,11
4-13-3,3,30,0.494988,3
8-8-9,3,29,1.419983,8
8-11-8,3,29,0.856908,11
11-3-0,3,29,0.761771,11
15-4-7,3,29,0.603132,15
10-10-12,3,29,0.598323,12
6-13-7,3,29,0.526069,7
3-4-9,3,29,0.413409,9
15-14-0,3,29,0.407203,15
5-14-15,3,28,1.147274,9
10-12-10,3,28,0.662206,10
11-14-5,3,28,0.646756,14
13-14-2,3,28,0.638464,2
15-0-14,3,28,0.527552,15
11-15-2,3,28,0.504529,2
5-15-14,3,28,0.503001,15
7-14-5,3,28,0.476269,11
11-9-1,3,28,0.402206,1
10-1-10,3,27,1.666344,10
1-1-12,3,27,1.010881,1
8-8-6,3,27,0.852169,8
14-3-14,3,27,0.750001,14
10-10-14,3,27,0.748806,10
8-8-0,3,27,0.708644,0
14-14-3,3,27,0.693858,14
7-2-9,3,27,0.509870,9
11-1-9,3,27,0.428007,1
1-12-1,3,26,1.203345,1
3-14-3,3,26,1.067788,3
15-3-0,3,26,0.610795,0
14-15-2,3,26,0.567555,2
15-10-7,3,26,0.543240,15
13-3-15,3,26,0.503581,15
7-9-2,3,26,0.481737,2
9-1-15,3,26,0.430725,13
4-3-0,3,26,0.402722,4
0-2-0,3,25,1.702998,0
13-14-3,3,25,0.936873,13
10-13-0,3,25,0.671587,13
13-9-2,3,25,0.671382,13
3-0-4,3,25,0.454510,4
15-13-12,3,25,0.447768,13
2-14-11,3,25,0.433221,11
15-13-8,3,25,0.431299,15
11-7-0,3,24,0.767239,11
6-7-11,3,24,0.762701,6
13-4-10,3,24,0.569936,9
13-12-7,3,24,0.545619,13
11-9-3,3,24,0.518759,3
11-2-14,3,24,0.503499,2
14-1-14,3,24,0.466820,14
5-11-14,3,24,0.407323,11
3-2-3,3,23,1.629626,3
10-14-10,3,23,1.549916,10
6-11-1,3,23,1.225001,6
12-1-12,3,23,1.088993,12
1-7-11,3,23,0.766700,11
11-2-15,3,23,0.691742,15
4-2-4,3,23,0.648785,4
8-0-8,3,23,0.582923,8
13-1-14,3,23,0.511315,13
6-0-13,3,23,0.487875,13
13-12-11,3,23,0.484340,13
9-0-4,3,23,0.458519,0
14-11-5,3,23,0.454614,11
11-3-15,3,23,0.452327,15
8-8-11,3,23,0.432699,8
7-7-8,3,23,0.411025,7
13-10-0,3,22,0.901573,0
13-4-14,3,22,0.675588,13
9-8-13,3,22,0.617558,13
11-9-10,3,22,0.601285,9
7-14-0,3,22,0.586700,0
5-14-2,3,22,0.503936,2
9-15-8,3,22,0.503762,15
2-11-5,3,22,0.472470,2
3-2-13,3,22,0.449909,13
